,Unnamed: 0,사업장명,도로명전체주소,위도(WGS84),경도(WGS84),카카오_카테고리,카카오_링크,평점,영업시간,구글지도링크,비고_y,통합_전화번호,카테고리1,카테고리2,카테고리3,카테고리4,mon,tue,wed,thu,fri,sat,sun,hours_compact
2544,2544,따봉시래기,"충청남도 천안시 서북구 미라2길 64, 1층 (쌍용동)",36.80498357494789,127.1303465397325,음식점 > 한식,http://place.map.kakao.com/133795672,5.0,,https://maps.google.com/?cid=8544626483216908071,,041-572-3999,한식,,,,,,,,,,,
2545,2545,봉주로삼겹,충청남도 천안시 서북구 성거읍 봉주로 111,36.87800222130897,127.15899327763876,"음식점 > 한식 > 육류,고기 > 삼겹살",http://place.map.kakao.com/14515220,3.3,,https://maps.google.com/?cid=13664238849557481422,,041-585-0234,한식,"육류,고기",삼겹살,,,,,,,,,
2546,2546,걱정말아요그대,"충청남도 천안시 서북구 백석3로 69 (백석동,주공그린빌상가 104호)",36.82208456414642,127.11947868107778,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/8779115,4.3,,https://maps.google.com/?cid=18431823003166383441,,041-564-5765,술집,"호프,요리주점",,,,,,,,,,
2547,2547,올림피아,충청남도 천안시 동남구 먹거리8길 36 (신부동),36.81693054288703,127.15722920752484,"스포츠,레저 > 볼링 > 볼링장",http://place.map.kakao.com/19701757,3.9,,https://maps.google.com/?cid=12778281327203334001,,041-567-5353,볼링,볼링장,,,,,,,,,,
2548,2548,원조닭갈비,충청남도 천안시 동남구 신용로 11 (다가동),36.80138638388707,127.13805279913494,"음식점 > 한식 > 육류,고기 > 닭요리",http://place.map.kakao.com/16594674,3.8,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 10:00 PM",https://maps.google.com/?cid=8585879250612759116,,041-574-6921,한식,"육류,고기",닭요리,,(월) 11:00~22:00,(화) 11:00~22:00,(수) 11:00~22:00,(목) 11:00~22:00,(금) 11:00~22:00,(토) 11:00~22:00,(일) 11:00~22:00,"(월) 11:00~22:00, (화) 11:00~22:00, (수) 11:00~22:00, (목) 11:00~22:00, (금) 11:00~22:00, (토) 11:00~22:00, (일) 11:00~22:00"
2549,2549,큰통치킨호프청당점,"충청남도 천안시 동남구 청당2길 118 (청당동,벽산블루밍아파트 상가동 B03호)",36.77911108607472,127.156024255899,,,5.0,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:30 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 PM – 12:00 AM",https://maps.google.com/?cid=5407357253878639411,,041-557-5355,,,,,(월) 12:00~00:00,(화) 12:00~00:00,(수) 12:00~00:00,(목) 12:00~00:00,(금) 12:00~00:30,(토) 12:00~00:00,(일) 12:00~00:00,"(월) 12:00~00:00, (화) 12:00~00:00, (수) 12:00~00:00, (목) 12:00~00:00, (금) 12:00~00:30, (토) 12:00~00:00, (일) 12:00~00:00"
2550,2550,조리고2천안봉명점,"충청남도 천안시 동남구 차돌고개7길 1 (다가동,, 3층)",36.80051935955523,127.13703379790532,,,4.2,"Monday: 11:00 AM – 9:30 PM, Tuesday: 11:00 AM – 9:30 PM, Wednesday: 11:00 AM – 9:30 PM, Thursday: 11:00 AM – 9:30 PM, Friday: 11:00 AM – 9:30 PM, Saturday: 11:00 AM – 9:30 PM, Sunday: 11:00 AM – 9:30 PM",https://maps.google.com/?cid=5353790073327873411,,041-577-1718,,,,,(월) 11:00~21:30,(화) 11:00~21:30,(수) 11:00~21:30,(목) 11:00~21:30,(금) 11:00~21:30,(토) 11:00~21:30,(일) 11:00~21:30,"(월) 11:00~21:30, (화) 11:00~21:30, (수) 11:00~21:30, (목) 11:00~21:30, (금) 11:00~21:30, (토) 11:00~21:30, (일) 11:00~21:30"
2551,2551,조리고천안봉명점,"충청남도 천안시 동남구 차돌고개7길 1 (다가동,, 2층)",36.80051935955523,127.13703379790532,음식점 > 한식,http://place.map.kakao.com/549841262,4.2,"Monday: 11:00 AM – 9:30 PM, Tuesday: 11:00 AM – 9:30 PM, Wednesday: 11:00 AM – 9:30 PM, Thursday: 11:00 AM – 9:30 PM, Friday: 11:00 AM – 9:30 PM, Saturday: 11:00 AM – 9:30 PM, Sunday: 11:00 AM – 9:30 PM",https://maps.google.com/?cid=5353790073327873411,,041-577-1718,한식,,,,(월) 11:00~21:30,(화) 11:00~21:30,(수) 11:00~21:30,(목) 11:00~21:30,(금) 11:00~21:30,(토) 11:00~21:30,(일) 11:00~21:30,"(월) 11:00~21:30, (화) 11:00~21:30, (수) 11:00~21:30, (목) 11:00~21:30, (금) 11:00~21:30, (토) 11:00~21:30, (일) 11:00~21:30"
2552,2552,스케치,"충청남도 천안시 서북구 봉서5길 21, 2층 (쌍용동)",36.80933916589443,127.13218836685208,,,,,,,,,,,,,,,,,,,
2553,2553,태현식당,,36.760481472849165,127.17158396315044,음식점 > 뷔페 > 한식뷔페,http://place.map.kakao.com/10720581,,,,,,뷔페,한식뷔페,,,,,,,,,,
2554,2554,발해한식부페,"충청남도 천안시 동남구 신촌로 24, 2098호 (신방동, 천안산업기자재유통단지)",36.78770815945757,127.12144924739609,음식점 > 뷔페 > 한식뷔페,http://place.map.kakao.com/21220803,,,https://maps.google.com/?cid=11013533383293080999,,041-570-8233,뷔페,한식뷔페,,,,,,,,,,
2555,2555,본가호반닭갈비막국수,"충청남도 천안시 서북구 늘푸른2길 14-4 (두정동,1층)",36.826876090237775,127.13100983148806,"음식점 > 한식 > 육류,고기 > 닭요리",http://place.map.kakao.com/27306156,4.3,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 10:00 PM",https://maps.google.com/?cid=11039505121945704995,,041-558-7999,한식,"육류,고기",닭요리,,(월) 11:00~22:00,(화) 11:00~22:00,(수) 11:00~22:00,(목) 11:00~22:00,(금) 11:00~22:00,(토) 11:00~22:00,(일) 11:00~22:00,"(월) 11:00~22:00, (화) 11:00~22:00, (수) 11:00~22:00, (목) 11:00~22:00, (금) 11:00~22:00, (토) 11:00~22:00, (일) 11:00~22:00"
2556,2556,이조갈비구성점,"충청남도 천안시 동남구 충절로 293, 1층 (구성동)",36.79323441578925,127.1614050667728,"음식점 > 한식 > 육류,고기 > 갈비",http://place.map.kakao.com/9324135,3.5,,https://maps.google.com/?cid=264884047059516746,,041-561-5353,한식,"육류,고기",갈비,,,,,,,,,
2557,2557,맛나감자탕,충청남도 천안시 서북구 미라3길 30 (쌍용동),36.80228223507703,127.13118189019592,음식점 > 한식 > 감자탕,http://place.map.kakao.com/16884700,4.0,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://maps.google.com/?cid=14684671155217912692,,041-577-8813,한식,감자탕,,,(월) Open 24 hours,(화) Open 24 hours,(수) Open 24 hours,(목) Open 24 hours,(금) Open 24 hours,(토) Open 24 hours,(일) Open 24 hours,"(월) Open 24 hours, (화) Open 24 hours, (수) Open 24 hours, (목) Open 24 hours, (금) Open 24 hours, (토) Open 24 hours, (일) Open 24 hours"
2558,2558,유박사해장국,"충청남도 천안시 동남구 각원사길 112, 1층 (안서동)",36.82920226042885,127.18387171692568,음식점 > 한식 > 해장국,http://place.map.kakao.com/10682070,4.1,"Monday: 7:00 AM – 9:00 PM, Tuesday: 7:00 AM – 9:00 PM, Wednesday: 7:00 AM – 9:00 PM, Thursday: 7:00 AM – 9:00 PM, Friday: 7:00 AM – 9:00 PM, Saturday: 7:00 AM – 9:00 PM, Sunday: 7:00 AM – 9:00 PM",https://maps.google.com/?cid=18087335292984227567,,041-565-7758,한식,해장국,,,(월) 07:00~21:00,(화) 07:00~21:00,(수) 07:00~21:00,(목) 07:00~21:00,(금) 07:00~21:00,(토) 07:00~21:00,(일) 07:00~21:00,"(월) 07:00~21:00, (화) 07:00~21:00, (수) 07:00~21:00, (목) 07:00~21:00, (금) 07:00~21:00, (토) 07:00~21:00, (일) 07:00~21:00"
2559,2559,입장샤브샤브얼크니손칼국수,충청남도 천안시 서북구 입장면 입장시장3길 6,36.91511397568454,127.22368394504583,,,,,,,,,,,,,,,,,,,
2560,2560,중앙수산식당,"충청남도 천안시 서북구 천안대로 1347, 채소경매장1동 2층 (신당동)",36.86087060876197,127.15010180277966,,,3.9,"Monday: 7:00 – 8:30 PM, Tuesday: 7:00 – 8:30 PM, Wednesday: 7:00 – 8:30 PM, Thursday: 7:00 – 8:30 PM, Friday: 7:00 – 8:30 PM, Saturday: 7:00 – 8:30 PM, Sunday: 7:00 – 8:30 PM",https://maps.google.com/?cid=10418170616556741528,,041-588-2350,,,,,(월) 07:00~20:30,(화) 07:00~20:30,(수) 07:00~20:30,(목) 07:00~20:30,(금) 07:00~20:30,(토) 07:00~20:30,(일) 07:00~20:30,"(월) 07:00~20:30, (화) 07:00~20:30, (수) 07:00~20:30, (목) 07:00~20:30, (금) 07:00~20:30, (토) 07:00~20:30, (일) 07:00~20:30"
2561,2561,등촌샤브칼국수신방점,"충청남도 천안시 동남구 수곡로 57, 1층 (신방동)",36.789027566910754,127.12591168306515,음식점 > 샤브샤브 > 등촌샤브칼국수,http://place.map.kakao.com/8928176,,,,,041-567-1030,샤브샤브,등촌샤브칼국수,,,,,,,,,,
2562,2562,포도마을식당,충청남도 천안시 서북구 성거읍 망향로 785 (청호포도마을아파트 상가 101호),36.88691924124708,127.20464026085668,음식점 > 한식,http://place.map.kakao.com/15458525,3.9,,https://maps.google.com/?cid=9974356422936460815,,,한식,,,,,,,,,,,
2563,2563,비에이치씨직산점,충청남도 천안시 서북구 직산읍 삼은4길 18-23 (직산1차(2단지)세광엔리치빌상가동 104호),36.87997622558921,127.1502629103091,,,,,,,,,,,,,,,,,,,
2564,2564,한신우동백석대점,"충청남도 천안시 동남구 문암4길 10-13, 1층 (안서동)",36.84151047187222,127.18092736946654,,,,,,,,,,,,,,,,,,,
2565,2565,뚜띠쿠치나천안점,"충청남도 천안시 서북구 백석로 69 (백석동,(1층))",36.82354340260115,127.11932891219284,음식점 > 양식 > 이탈리안,http://place.map.kakao.com/26517040,,,,,041-566-3356,양식,이탈리안,,,,,,,,,,
2566,2566,강경숙김치찌개,충청남도 천안시 서북구 백석로 17-23 (백석동),36.824383463887465,127.11491110530658,"음식점 > 한식 > 찌개,전골",http://place.map.kakao.com/287701133,,,,,041-555-2777,한식,"찌개,전골",,,,,,,,,,
2567,2567,육전국밥천안성거점,"충청남도 천안시 서북구 성거읍 천흥4길 7, 2층",36.87414526642821,127.202553698112,음식점 > 한식 > 국밥,http://place.map.kakao.com/48117437,4.3,,https://maps.google.com/?cid=10964083815625038265,,041-557-8188,한식,국밥,,,,,,,,,,
2568,2568,진곰탕,"충청남도 천안시 서북구 성거읍 봉주로 474, 1층",36.876881814352735,127.19918116439686,음식점 > 한식 > 곰탕,http://place.map.kakao.com/185252036,,,,,,한식,곰탕,,,,,,,,,,
2569,2569,민병선식당두정점,"충청남도 천안시 서북구 두정고4길 8, 1동 (두정동)",36.834281702577,127.1303445844317,음식점 > 한식,http://place.map.kakao.com/1167788339,,,,,070-4151-7058,한식,,,,,,,,,,,
2570,2570,낙지한마리수제비,"충청남도 천안시 동남구 병천면 병천1로 28, F동 1층",36.76295722403121,127.2924949686784,음식점 > 한식 > 수제비,http://place.map.kakao.com/8206934,4.0,"Monday: 11:30 AM – 10:00 PM, Tuesday: 11:30 AM – 10:00 PM, Wednesday: 11:30 AM – 10:00 PM, Thursday: 11:30 AM – 10:00 PM, Friday: 11:30 AM – 10:00 PM, Saturday: 11:30 AM – 10:00 PM, Sunday: 11:30 AM – 10:00 PM",https://maps.google.com/?cid=1658056125971004976,,041-568-3040,한식,수제비,,,(월) 11:30~22:00,(화) 11:30~22:00,(수) 11:30~22:00,(목) 11:30~22:00,(금) 11:30~22:00,(토) 11:30~22:00,(일) 11:30~22:00,"(월) 11:30~22:00, (화) 11:30~22:00, (수) 11:30~22:00, (목) 11:30~22:00, (금) 11:30~22:00, (토) 11:30~22:00, (일) 11:30~22:00"
2571,2571,정동숯불갈비,충청남도 천안시 동남구 신용로 34 (다가동),36.801130013647274,127.14039944668303,"음식점 > 한식 > 육류,고기 > 갈비",http://place.map.kakao.com/8534921,4.5,"Monday: 11:00 AM – 9:00 PM, Tuesday: 11:00 AM – 9:00 PM, Wednesday: 11:00 AM – 9:00 PM, Thursday: 11:00 AM – 9:00 PM, Friday: 11:00 AM – 9:00 PM, Saturday: 11:00 AM – 9:00 PM, Sunday: 11:00 AM – 9:00 PM",https://maps.google.com/?cid=11852863626210803481,,041-572-2887,한식,"육류,고기",갈비,,(월) 11:00~21:00,(화) 11:00~21:00,(수) 11:00~21:00,(목) 11:00~21:00,(금) 11:00~21:00,(토) 11:00~21:00,(일) 11:00~21:00,"(월) 11:00~21:00, (화) 11:00~21:00, (수) 11:00~21:00, (목) 11:00~21:00, (금) 11:00~21:00, (토) 11:00~21:00, (일) 11:00~21:00"
2572,2572,은혜네칼국수,충청남도 천안시 동남구 공설시장3길 10 (대흥동),36.80995233386274,127.14940261654264,음식점 > 한식 > 국수 > 칼국수,http://place.map.kakao.com/9949731,3.5,,https://maps.google.com/?cid=5371567240317773139,,041-568-5528,한식,국수,칼국수,,,,,,,,,
2573,2573,호수매운탕,"충청남도 천안시 서북구 성성2길 61, 2층 (성성동)",36.84483846407568,127.13044010568164,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",http://place.map.kakao.com/15283675,4.3,"Monday: 11:00 AM – 9:30 PM, Tuesday: 11:00 AM – 9:30 PM, Wednesday: 11:00 AM – 9:30 PM, Thursday: 11:00 AM – 9:30 PM, Friday: 11:00 AM – 9:30 PM, Saturday: 11:00 AM – 9:30 PM, Sunday: 11:00 AM – 9:30 PM",https://maps.google.com/?cid=5836442066520929321,,041-523-8885,한식,"해물,생선","매운탕,해물탕",,(월) 11:00~21:30,(화) 11:00~21:30,(수) 11:00~21:30,(목) 11:00~21:30,(금) 11:00~21:30,(토) 11:00~21:30,(일) 11:00~21:30,"(월) 11:00~21:30, (화) 11:00~21:30, (수) 11:00~21:30, (목) 11:00~21:30, (금) 11:00~21:30, (토) 11:00~21:30, (일) 11:00~21:30"
2574,2574,엄마손밥상,충청남도 천안시 서북구 쌍용12길 20 (쌍용동),36.80298677035938,127.12105092509746,,,3.7,"Monday: 5:00 AM – 6:00 PM, Tuesday: 5:00 AM – 6:00 PM, Wednesday: 5:00 AM – 6:00 PM, Thursday: 5:00 AM – 6:00 PM, Friday: 5:00 AM – 6:00 PM, Saturday: 5:00 AM – 3:56 PM, Sunday: Closed",https://maps.google.com/?cid=13259888443451552783,,031-655-3934,,,,,(월) 05:00~18:00,(화) 05:00~18:00,(수) 05:00~18:00,(목) 05:00~18:00,(금) 05:00~18:00,(토) 05:00~15:56,(일) 휴무,"(월) 05:00~18:00, (화) 05:00~18:00, (수) 05:00~18:00, (목) 05:00~18:00, (금) 05:00~18:00, (토) 05:00~15:56, (일) 휴무"
2575,2575,와쌉치킨,충청남도 천안시 서북구 부성6길 29 (두정동),36.83584760030732,127.136962534433,음식점 > 치킨,http://place.map.kakao.com/21463265,5.0,,https://maps.google.com/?cid=4808350846753356108,,041-622-9982,치킨,,,,,,,,,,,
2576,2576,카페711,"충청남도 천안시 동남구 터미널2로 22-1, 1층 (신부동)",36.82132396430075,127.1588506190915,,,3.7,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM",https://maps.google.com/?cid=9381475285849498971,,041-557-0711,,,,,(월) 10:00~22:00,(화) 10:00~22:00,(수) 10:00~22:00,(목) 10:00~22:00,(금) 10:00~22:00,(토) 10:00~22:00,(일) 10:00~22:00,"(월) 10:00~22:00, (화) 10:00~22:00, (수) 10:00~22:00, (목) 10:00~22:00, (금) 10:00~22:00, (토) 10:00~22:00, (일) 10:00~22:00"
2577,2577,원조김밥나라,충청남도 천안시 동남구 충절로 16 (신부동),36.8176427689584,127.15796365712686,,,3.2,"Monday: 9:30 AM – 10:00 PM, Tuesday: 9:00 AM – 10:00 PM, Wednesday: 9:30 AM – 10:00 PM, Thursday: 9:30 AM – 10:00 PM, Friday: Closed, Saturday: 9:30 AM – 10:00 PM, Sunday: Closed",https://maps.google.com/?cid=12423031195246614167,,041-558-3111,,,,,(월) 09:30~22:00,(화) 09:00~22:00,(수) 09:30~22:00,(목) 09:30~22:00,(금) 휴무,(토) 09:30~22:00,(일) 휴무,"(월) 09:30~22:00, (화) 09:00~22:00, (수) 09:30~22:00, (목) 09:30~22:00, (금) 휴무, (토) 09:30~22:00, (일) 휴무"
2578,2578,쭈노치킨,"충청남도 천안시 서북구 성환읍 천안대로 1853, 2층 202호 (부영아파트 상가동)",36.90422660070479,127.13449549341956,음식점 > 치킨,http://place.map.kakao.com/16127978,,,https://maps.google.com/?cid=14819280266149545522,,,치킨,,,,,,,,,,,
2579,2579,야키토리하루,"충청남도 천안시 서북구 미라2길 47 (쌍용동,1층)",36.803815737687735,127.12978858928852,음식점 > 술집 > 일본식주점,http://place.map.kakao.com/195104120,,,,,,술집,일본식주점,,,,,,,,,,
2580,2580,정다운실내포차,충청남도 천안시 동남구 수선정길 26 (영성동),36.80345630443697,127.15186039356016,,,,,https://maps.google.com/?cid=8890840831738489563,,041-555-8571,,,,,,,,,,,,
2581,2581,석탑바베큐,충청남도 천안시 동남구 자유시장1길 11 (문화동),36.810977070094765,127.15077968623204,음식점 > 치킨,http://place.map.kakao.com/10490033,4.0,,https://maps.google.com/?cid=13975831820885058691,,041-562-1489,치킨,,,,,,,,,,,
2582,2582,달비골민속주점,충청남도 천안시 동남구 중앙로 264 (신부동),36.82156100800854,127.15244980337884,"음식점 > 술집 > 호프,요리주점",http://place.map.kakao.com/21399443,4.3,,https://maps.google.com/?cid=17603215199975852681,,041-566-4428,술집,"호프,요리주점",,,,,,,,,,
2583,2583,북경반점,충청남도 천안시 동남구 충절로 139 (원성동),36.806614986389526,127.15893373533136,음식점 > 중식 > 중국요리,http://place.map.kakao.com/119544212,4.3,"Monday: 11:00 AM – 9:00 PM, Tuesday: 11:00 AM – 9:00 PM, Wednesday: 11:00 AM – 9:00 PM, Thursday: 11:00 AM – 9:00 PM, Friday: 11:00 AM – 9:00 PM, Saturday: 11:00 AM – 9:00 PM, Sunday: 11:00 AM – 9:00 PM",https://maps.google.com/?cid=5791794245661283094,,041-551-3832,중식,중국요리,,,(월) 11:00~21:00,(화) 11:00~21:00,(수) 11:00~21:00,(목) 11:00~21:00,(금) 11:00~21:00,(토) 11:00~21:00,(일) 11:00~21:00,"(월) 11:00~21:00, (화) 11:00~21:00, (수) 11:00~21:00, (목) 11:00~21:00, (금) 11:00~21:00, (토) 11:00~21:00, (일) 11:00~21:00"
2584,2584,불닭발땡초동대문엽기떡볶이천안신방점,"충청남도 천안시 동남구 수곡2길 17 (신방동,성산타워 103호)",36.78990949637517,127.12825230832073,,,,,,,,,,,,,,,,,,,
2585,2585,서가장인곱창,충청남도 천안시 동남구 터미널9길 12 (신부동),36.82291748819757,127.15380463865785,"음식점 > 한식 > 육류,고기 > 곱창,막창",http://place.map.kakao.com/1762096799,4.6,"Monday: 2:00 PM – 12:00 AM, Tuesday: 2:00 PM – 12:00 AM, Wednesday: 2:00 PM – 12:00 AM, Thursday: 2:00 PM – 12:00 AM, Friday: 2:00 PM – 12:00 AM, Saturday: 1:00 PM – 12:00 AM, Sunday: 1:00 PM – 12:00 AM",https://maps.google.com/?cid=11601423731027540648,,041-522-5595,한식,"육류,고기","곱창,막창",,(월) 14:00~00:00,(화) 14:00~00:00,(수) 14:00~00:00,(목) 14:00~00:00,(금) 14:00~00:00,(토) 13:00~00:00,(일) 13:00~00:00,"(월) 14:00~00:00, (화) 14:00~00:00, (수) 14:00~00:00, (목) 14:00~00:00, (금) 14:00~00:00, (토) 13:00~00:00, (일) 13:00~00:00"
2586,2586,김밥세상,"충청남도 천안시 동남구 풍세로 1010-31 (청수동,현대아파트상가B동104호)",36.7973961589783,127.1539051878552,음식점 > 분식,http://place.map.kakao.com/15898099,,,https://maps.google.com/?cid=13959545203627530431,,041-555-8880,분식,,,,,,,,,,,
2587,2587,천안조개구이무한리필,"충청남도 천안시 서북구 원두정6길 16, 1층 (두정동)",36.83142890839515,127.13496316803706,"음식점 > 한식 > 해물,생선 > 조개",http://place.map.kakao.com/1077581278,,,,,,한식,"해물,생선",조개,,,,,,,,,
2588,2588,교촌치킨신방1호,"충청남도 천안시 동남구 신촌3길 16, 1층 (신방동)",36.78912835090817,127.12331115681386,음식점 > 치킨 > 교촌치킨,http://place.map.kakao.com/8211239,3.4,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 PM – 12:00 AM",https://maps.google.com/?cid=4143790158361035189,,041-575-3366,치킨,교촌치킨,,,(월) 12:00~00:00,(화) 12:00~00:00,(수) 12:00~00:00,(목) 12:00~00:00,(금) 12:00~00:00,(토) 12:00~00:00,(일) 12:00~00:00,"(월) 12:00~00:00, (화) 12:00~00:00, (수) 12:00~00:00, (목) 12:00~00:00, (금) 12:00~00:00, (토) 12:00~00:00, (일) 12:00~00:00"
2589,2589,원조동치미숯불구이냉면앤갈비탕,"충청남도 천안시 서북구 성정4길 36, 1층 (성정동)",36.81687581319861,127.1380588765486,음식점 > 한식 > 냉면,http://place.map.kakao.com/294534050,,,https://maps.google.com/?cid=8541326728336829556,,041-573-9987,한식,냉면,,,,,,,,,,
2590,2590,이자카야우규천안신방점,"충청남도 천안시 동남구 수곡1길 12 (신방동,외1필지 1층)",36.78937174028761,127.12708397720836,음식점 > 술집 > 일본식주점,http://place.map.kakao.com/1114787067,,,,,010-8542-9803,술집,일본식주점,,,,,,,,,,
2591,2591,정겨운항아리갈비,"충청남도 천안시 동남구 수곡1길 5, 1층 (신방동)",36.788954222924566,127.12657658766037,"음식점 > 한식 > 육류,고기 > 갈비",http://place.map.kakao.com/25773807,3.8,,https://maps.google.com/?cid=4587958220122100223,,041-567-3355,한식,"육류,고기",갈비,,,,,,,,,
2592,2592,천안장례식장,충청남도 천안시 서북구 성거읍 모전1길 213,36.89681888031177,127.19339276112878,"가정,생활 > 장례 > 장례식장",http://place.map.kakao.com/8541535,,,,,041-585-4000,장례,장례식장,,,,,,,,,,
2593,2593,단비,"충청남도 천안시 동남구 태조산길 120-3, 1층 (유량동)",36.81385534074594,127.17744611193362,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/8277692,3.8,"Monday: 11:00 AM – 10:00 PM, Tuesday: 11:00 AM – 10:00 PM, Wednesday: 11:00 AM – 10:00 PM, Thursday: 11:00 AM – 10:00 PM, Friday: 11:00 AM – 10:00 PM, Saturday: 11:00 AM – 10:00 PM, Sunday: 11:00 AM – 9:00 PM",https://maps.google.com/?cid=675249289583596535,,041-564-9282,한식,"육류,고기",,,(월) 11:00~22:00,(화) 11:00~22:00,(수) 11:00~22:00,(목) 11:00~22:00,(금) 11:00~22:00,(토) 11:00~22:00,(일) 11:00~21:00,"(월) 11:00~22:00, (화) 11:00~22:00, (수) 11:00~22:00, (목) 11:00~22:00, (금) 11:00~22:00, (토) 11:00~22:00, (일) 11:00~21:00"
2594,2594,우성해장국,"충청남도 천안시 서북구 봉정로 208, 1층 (성정동)",36.82045517196582,127.14355751090996,음식점 > 한식 > 해장국,http://place.map.kakao.com/16741140,3.7,"Monday: 6:00 AM – 10:00 PM, Tuesday: 6:00 AM – 10:00 PM, Wednesday: 6:00 AM – 10:00 PM, Thursday: 6:00 AM – 10:00 PM, Friday: 6:00 AM – 10:00 PM, Saturday: 6:00 AM – 10:00 PM, Sunday: 6:00 AM – 10:00 PM",https://maps.google.com/?cid=16855526032312838605,,041-575-6955,한식,해장국,,,(월) 06:00~22:00,(화) 06:00~22:00,(수) 06:00~22:00,(목) 06:00~22:00,(금) 06:00~22:00,(토) 06:00~22:00,(일) 06:00~22:00,"(월) 06:00~22:00, (화) 06:00~22:00, (수) 06:00~22:00, (목) 06:00~22:00, (금) 06:00~22:00, (토) 06:00~22:00, (일) 06:00~22:00"
2595,2595,삼대가,"충청남도 천안시 서북구 봉서5길 21 (쌍용동,1층)",36.80933916589443,127.13218836685208,음식점,http://place.map.kakao.com/534956092,,,,,,,,,,,,,,,,,
2596,2596,소곱창삼겹살이맛있는집,"충청남도 천안시 동남구 원성4길 27, 1층 (원성동)",36.80879777810679,127.16144858262744,,,5.0,,https://maps.google.com/?cid=8775672425095327960,,041-904-9292,,,,,,,,,,,,
2597,2597,불 불날개,충청남도 천안시 서북구 미라2길 47 (쌍용동),36.803815737687735,127.12978858928852,"음식점 > 한식 > 육류,고기 > 닭요리",http://place.map.kakao.com/9802130,,,,,041-579-2044,한식,"육류,고기",닭요리,,,,,,,,,
2598,2598,박가네한우소머리곰탕,"충청남도 천안시 동남구 수신면 수신로 424, 1층",36.73006474683317,127.2807745536754,,,,,,,,,,,,,,,,,,,
2599,2599,봉구비어불당점,"충청남도 천안시 서북구 검은들3길 9, 1동 1층 105,106호 (불당동)",36.8110320613914,127.110460723372,"음식점 > 술집 > 호프,요리주점 > 봉구비어",http://place.map.kakao.com/2143220578,,,,,,술집,"호프,요리주점",봉구비어,,,,,,,,,
2600,2600,춘천오리앤닭갈비,"충청남도 천안시 서북구 불당1길 51 (불당동,외1필지)",36.804086857734134,127.10848949692142,"음식점 > 한식 > 육류,고기 > 닭요리",http://place.map.kakao.com/23447229,4.5,"Monday: 11:00 AM – 11:00 PM, Tuesday: 11:00 AM – 11:00 PM, Wednesday: 11:00 AM – 11:00 PM, Thursday: 11:00 AM – 11:00 PM, Friday: 11:00 AM – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 11:00 PM",https://maps.google.com/?cid=17334348775094230084,,041-567-7756,한식,"육류,고기",닭요리,,(월) 11:00~23:00,(화) 11:00~23:00,(수) 11:00~23:00,(목) 11:00~23:00,(금) 11:00~23:00,(토) 11:00~23:00,(일) 11:00~23:00,"(월) 11:00~23:00, (화) 11:00~23:00, (수) 11:00~23:00, (목) 11:00~23:00, (금) 11:00~23:00, (토) 11:00~23:00, (일) 11:00~23:00"
2601,2601,숯토리천안두정점,충청남도 천안시 서북구 원두정5길 2 (두정동),36.83107974864229,127.13412918231856,음식점 > 술집 > 일본식주점 > 숯토리,http://place.map.kakao.com/989310523,5.0,,https://maps.google.com/?cid=11977847530158698811,,,술집,일본식주점,숯토리,,,,,,,,,
2602,2602,교촌치킨백석점,"충청남도 천안시 서북구 백석3로 70, 103호 (백석동)",36.81990210619262,127.1187840748996,음식점 > 치킨 > 교촌치킨,http://place.map.kakao.com/8663601,,,,,041-553-5592,치킨,교촌치킨,,,,,,,,,,
